learning_rate,dropout_rate,gamma,start_filters,kernel_size,pooling_type,best_val_dice
0.01,0.1,2.0,32,"(2, 2)",avg,0.4223698377609253
0.01,0.1,2.0,32,"(3, 3)",avg,0.504847526550293
0.01,0.1,2.0,64,"(2, 2)",avg,0.4249255657196045
0.01,0.1,2.0,64,"(3, 3)",avg,0.5161453485488892
0.01,0.3,2.0,32,"(2, 2)",avg,0.41851168870925903
0.01,0.3,2.0,32,"(3, 3)",avg,0.5257023572921753
0.01,0.3,2.0,64,"(2, 2)",avg,0.4013490080833435
0.01,0.3,2.0,64,"(3, 3)",avg,0.5086362361907959
0.01,0.5,2.0,32,"(2, 2)",avg,0.4238027334213257
0.01,0.5,2.0,32,"(3, 3)",avg,0.47751766443252563
0.01,0.5,2.0,64,"(2, 2)",avg,0.36454373598098755
0.01,0.5,2.0,64,"(3, 3)",avg,0.4803194999694824
0.001,0.1,2.0,32,"(2, 2)",avg,0.4767419695854187
0.001,0.1,2.0,32,"(3, 3)",avg,0.46286648511886597
0.001,0.1,2.0,64,"(2, 2)",avg,0.44849324226379395
0.001,0.1,2.0,64,"(3, 3)",avg,0.5316587686538696
0.001,0.3,2.0,32,"(2, 2)",avg,0.40433168411254883
0.001,0.3,2.0,32,"(3, 3)",avg,0.4767971932888031
0.001,0.3,2.0,64,"(2, 2)",avg,0.37549227476119995
0.001,0.3,2.0,64,"(3, 3)",avg,0.5220881700515747
0.001,0.5,2.0,32,"(2, 2)",avg,0.4658689796924591
0.001,0.5,2.0,32,"(3, 3)",avg,0.5344511270523071
0.001,0.5,2.0,64,"(2, 2)",avg,0.3840102553367615
0.001,0.5,2.0,64,"(3, 3)",avg,0.45117413997650146
0.0001,0.1,2.0,32,"(2, 2)",avg,0.3593606948852539
0.0001,0.1,2.0,32,"(3, 3)",avg,0.4459646940231323
0.0001,0.1,2.0,64,"(2, 2)",avg,0.3734256625175476
0.0001,0.1,2.0,64,"(3, 3)",avg,0.6185740232467651
0.0001,0.3,2.0,32,"(2, 2)",avg,0.3390994071960449
0.0001,0.3,2.0,32,"(3, 3)",avg,0.5815436840057373
0.0001,0.3,2.0,64,"(2, 2)",avg,0.40124934911727905
0.0001,0.3,2.0,64,"(3, 3)",avg,0.5555580854415894
0.0001,0.5,2.0,32,"(2, 2)",avg,0.3126595914363861
0.0001,0.5,2.0,32,"(3, 3)",avg,0.4229345917701721
0.0001,0.5,2.0,64,"(2, 2)",avg,0.41430261731147766
0.0001,0.5,2.0,64,"(3, 3)",avg,0.5190800428390503
